SMILES,TTR binding activity,cSMILES
CCC(=C(C1=CC=C(O)C=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3,4.826103947,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
COC1=CC=C(O)C=C1,21.41267072,COc1ccc(O)cc1
CN1CCOCC1,19.68054397,CN1CCOCC1
NCCCN1CCOCC1,7.328752215,NCCCN1CCOCC1
CCCC1=CC=C(N)C=C1,35.16247601,CCCc1ccc(N)cc1
C1=CC(=CC=N1)C2=CC=NC=C2,36.58913468,c1cc(-c2ccncc2)ccn1
ClC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(Cl)C=C2,32.24124406,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,43.36185941,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N
CN1SC(Cl)=CC1=O,11.55946256,Cn1sc(Cl)cc1=O
NC1=NC2=C(NC=N2)C(=S)N1,11.88592199,Nc1nc2nc[nH]c2c(=S)[nH]1
C=CC#N,79.83144095,C=CC#N
C=CCN=C=S,11.238935,C=CCN=C=S
CC1=CCC2CC1C2(C)C,14.6862403,CC1=CCC2CC1C2(C)C
CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2,11.27842345,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
O[C@@H]([C@@H](O)CO)[C@@H](O)C=O,10.02933917,O=C[C@H](O)[C@@H](O)[C@@H](O)CO
OC(=O)C1CCN(CC1)C2=C(NC(=O)NC(=O)C3=CC(F)=C(F)C=C3Cl)C=C(F)C=C2,21.4705986,O=C(NC(=O)c1cc(F)c(F)cc1Cl)Nc1cc(F)ccc1N1CCC(C(=O)O)CC1
CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl,31.68089716,CC1COc2ccccc2N1C(=O)C(Cl)Cl
COC1=CC=C(C=C1)C2=COC3=C(C(O)=CC(O)=C3)C2=O,100.6343086,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
OC1=C(Br)C=C(C=C1Br)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=CC(Br)=C(O)C(Br)=C4,102.2260995,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21
CC(C)N1C(SCN(C1=O)C2=CC=CC=C2)=NC(C)(C)C,61.37356636,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C
CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,73.41149411,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-]
CCCCOC(=O)[C@H](C)O,4.72227726,CCCCOC(=O)[C@H](C)O
CCCCOC(=O)C(C)O,-11.80964179,CCCCOC(=O)C(C)O
CCCC[Sn](Cl)(Cl)Cl,6.38855459,CCCC[Sn](Cl)(Cl)Cl
[Na+].COC1=CC=C(C=C1)N=NC2=C(OC)C=C(N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(C)=C2,111.1218796,COc1ccc(N=Nc2cc(C)c(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc2OC)cc1
[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C3=CC=CC=C3C=C1,110.3122556,O=S(=O)([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)cc1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-3.242788835,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CC(=O)C1=CC2=C(OC(C)(C)[C@H](O)[C@H]2NC(=O)C3=CC=C(F)C=C3)C=C1,12.45714286,CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)cc1)[C@@H](O)C(C)(C)O2
COC1=CC(Cl)=C(OC)C=C1Cl,86.96613872,COc1cc(Cl)c(OC)cc1Cl
CC(C)=CCCC(C)=CC#N,50.73414839,CC(C)=CCCC(C)=CC#N
ClC1=CC=CC=C1C2=NN=C(N=N2)C3=C(Cl)C=CC=C3,60.08369805,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1
NCCO.OC(=O)C1=C(Cl)C=CC(Cl)=N1,20.81649372,O=C(O)c1nc(Cl)ccc1Cl
O=C1OC2=C(C=CC=C2)C=C1,19.72643528,O=c1ccc2ccccc2o1
ClC=1C=C2N(C(=O)C(C2=CC1F)C(=O)C=3SC=C(Cl)C3)C(=O)N,104.9348849,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
COC1=C(CN[C@H]2CCCN[C@H]2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1,5.164777908,COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1
CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC2=C3CCCC3=CC4=C2CCC4,35.03390378,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1N)N2C=NC3=C2N=CN=C3NCC4=CC(Cl)=CC=C4OCC5=CC(C)=NO5,5.832623947,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCc4cc(C)no4)ncnc32)[C@H](O)[C@@H]1N
CC(C)(OO)C1=CC=CC=C1,44.22230313,CC(C)(OO)c1ccccc1
NC#N,3.603488484,N#CN
NC(=N)NC#N,10.84854327,N#CNC(=N)N
OC1=NC(O)=NC(O)=N1,8.176918199,Oc1nc(O)nc(O)n1
OC1CCCCC1,5.818678081,OC1CCCCC1
OC1CCCC1,9.231420707,OC1CCCC1
CC(C1CC1)C(O)(CN2C=NC=N2)C3=CC=C(Cl)C=C3,44.1124534,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,8.734220403,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.526002745,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-10.73015873,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
O[C@@H]([C@H](O)CO)[C@@H](O)C=O,-0.343225203,O=C[C@H](O)[C@@H](O)[C@H](O)CO
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,60.44092833,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
BrC(Br)C#N,-2.603174603,N#CC(Br)Br
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,92.68395403,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
OC(=O)C(Cl)Cl,10.35384463,OC(=O)C(Cl)Cl
COP(=O)(OC)O/C(/C)=C/C(=O)N(C)C,8.167667941,COP(=O)(OC)O/C(C)=C/C(=O)N(C)C
CCOC(=O)CC(=O)OCC,8.336183576,CCOC(=O)CC(=O)OCC
COCCOCCOC,7.092547596,COCCOCCOC
COC1=C(OC)C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(Cl)C=C3,32.11592903,COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC
COP(=O)OC,11.10342729,CO[PH](=O)OC
CNC,2.714483852,CNC
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,14.46575501,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC
CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,8.21650457,CN(C)C(=O)C(c1ccccc1)c1ccccc1
[Hg](C1=CC=CC=C1)C2=CC=CC=C2,0.52557329,c1ccc([Hg]c2ccccc2)cc1
C[Si](C)(O[Si](C)(C)C=C)C=C,10.80857354,C=C[Si](C)(C)O[Si](C)(C)C=C
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,15.86082522,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CCCCCCCCCCCC(O)=O,98.94099567,CCCCCCCCCCCC(O)=O
O=C(OCC1CCC2OC2C1)C3CCC4OC4C3,4.024137931,O=C(OCC1CCC2OC2C1)C1CCC2OC2C1
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC=CC5=C4C=CO5,5.575556759,CN(C(=O)Cc1cccc2occc12)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1
CCCN(CCC)C(=O)SCC,24.28323896,CCCN(CCC)C(=O)SCC
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,96.31702473,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
CCCSP(=O)(OCC)SCCC,24.58492627,CCCSP(=O)(OCC)SCCC
CCOC(=O)C1=CC=C(C)C=C1,6.593028457,CCOC(=O)c1ccc(C)cc1
CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3,75.03377386,CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1
CCCC(=O)OCC,-0.643918878,CCCC(=O)OCC
CCOC(=O)C1OC1(C)C2=CC=CC=C2,36.90752906,CCOC(=O)C1OC1(C)c1ccccc1
[Na+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,9.537897999,[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C3=CC=C(OC4=CC=CC=C4)C=C3,66.56265898,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,80.36824275,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,65.07854202,CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,61.22151526,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC3=CC=CC=C3,26.57892215,Cc1nn(C)c(Oc2ccccc2)c1C=NOCc1ccc(C(=O)OC(C)(C)C)cc1
[Na+].COC1=NN(C(=O)[N-]S(=O)(=O)C2=C(OC(F)(F)F)C=CC=C2)C(=O)N1C,90.00580897,COc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2OC(F)(F)F)c(=O)n1C
Cl.CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,13.87244071,CNC(=O)Oc1cccc(N=CN(C)C)c1
O=CCCCC=O,0.307490223,O=CCCCC=O
C[Si](C)(C)N[Si](C)(C)C,5.376452754,C[Si](C)(C)N[Si](C)(C)C
ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC=C,40.52732361,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,4.781540142,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN3C=NC=N3,-20.94502348,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(Cl)=CC(Cl)=C2,99.24209985,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
CC(C)CCOC(=O)C1=CC=CC=C1,34.52204268,CC(C)CCOC(=O)c1ccccc1
CC1=CC(=O)CC(C)(C)C1,26.14797136,CC1=CC(=O)CC(C)(C)C1
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O,82.15626066,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,68.1409764,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1
OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,5.197498856,OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO
CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,79.44753242,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
CC(=C)C1CCC(C)=CC1,5.712964798,C=C(C)C1CC=C(C)CC1
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,23.25688708,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CC(C)C1CCC(C)CC1O,14.39590596,CC1CCC(C(C)C)C(O)C1
[Na+].CNC([S-])=S,28.72365223,CNC(=S)[S-]
SC(=S)NC.[Na].O,36.55879628,CNC(=S)S
COC(=O)C1=C(C)C=CC=C1,15.10844513,COC(=O)c1ccccc1C
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,85.21879589,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
N#CSCSC#N,32.23201175,N#CSCSC#N
COC(=O)C=C(C)OP(=O)(OC)OC,13.65691376,COC(=O)C=C(C)OP(=O)(OC)OC
OC(=O)C1=C(C=CC=C1)C(=O)OCC2=CC=CC=C2,70.69078615,O=C(O)c1ccccc1C(=O)OCc1ccccc1
CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2,38.31732968,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1
O=C1N(SC2CCCCC2)C(=O)C3=C1C=CC=C3,59.83259912,O=C1c2ccccc2C(=O)N1SC1CCCCC1
CCCCNS(=O)(=O)C1=CC=C(C)C=C1,18.45559151,CCCCNS(=O)(=O)c1ccc(C)cc1
CCNC1=CC(C)=CC=C1,13.29528335,CCNc1cccc(C)c1
O=NN1CCCC1,8.039673978,O=NN1CCCC1
[Cl-].CCCC[N+](C)(CCCC)CCCC,12.15457387,CCCC[N+](C)(CCCC)CCCC
CN(C)C(C)=O,18.58873578,CC(=O)N(C)C
CN(C)C1=CC=CC=C1,26.00625244,CN(C)c1ccccc1
NC(=O)C1=CC=CN=C1,0.420542883,NC(=O)c1cccnc1
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3CC=C(C)C)OC(=O)NC(=O)CCl,-19.68082884,CO[C@@H]1[C@H](OC(=O)NC(=O)CCl)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,4.638518977,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Cl.COC1=CC=C(N)C=C1,19.36512646,COc1ccc(N)cc1
CC1=CC=C(O)C=C1,20.40143369,Cc1ccc(O)cc1
CCCCN(CC)C(=O)SCCC,2.28283676,CCCCN(CC)C(=O)SCCC
CC1=C2N=C(C3=CC=CC=C3Cl)C4=C(NC2=NN1)C=CC(=C4)[N+]([O-])=O,89.9090277,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2
[Na+].FC1=CC=C(C(=O)[N-]S(=O)(=O)/C=C/C2=CC=CC=C2)C(Cl)=C1,92.73029214,O=C([N-]S(=O)(=O)/C=C/c1ccccc1)c1ccc(F)cc1Cl
[K+].CCCCC(CC)C([O-])=O,22.60326922,CCCCC(CC)C(=O)[O-]
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,102.5733648,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,106.5983528,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
CC(C)N(C(=O)CCl)C1=CC=CC=C1,13.39382036,CC(C)N(C(=O)CCl)c1ccccc1
[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C,52.288918,CCCOc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C
Cl.CC1=NC=C(CO)C(CO)=C1O,-2.283661556,Cc1ncc(CO)c(CO)c1O
O=C1NS(=O)(=O)C2=C1C=CC=C2,40.89736016,O=C1NS(=O)(=O)C2=C1C=CC=C2
C=CCC1=CC=C2OCOC2=C1,26.10752688,C=CCc1ccc2c(c1)OCO2
CCNC1=NC(NCC)=NC(Cl)=N1,0.686404478,CCNc1nc(Cl)nc(NCC)n1
[Na+].[O-]C1=CC=C(C=C1)[N+]([O-])=O,97.1758665,O=[N+]([O-])c1ccc([O-])cc1
[Na+].CCCCCCCCCOS([O-])(=O)=O,94.58724751,CCCCCCCCCOS(=O)(=O)[O-]
O.[Na+].O=C1[N-]S(=O)(=O)C2=CC=CC=C12,37.2942923,O=C1[N-]S(=O)(=O)C2=CC=CC=C12
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,55.54733467,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O
CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,51.05135721,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1
C1OC1C2=CC=CC=C2,18.24331466,c1ccc(C2CO2)cc1
OC(=O)C1=CC(=CC=C1O)N=NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3,109.3334172,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
CC1=NN(C(=O)N1C(F)F)C2=CC(NS(C)(=O)=O)=C(Cl)C=C2Cl,79.39662771,Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F
CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,46.68704712,CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C
CC1=C(F)C(F)=C(COC(=O)C2C(/C=C(\Cl)/C(F)(F)F)C2(C)C)C(F)=C1F,23.83603647,Cc1c(F)c(F)c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F
OC(=O)CS,9.517613766,O=C(O)CS
NC(N)=S,23.12943292,NC(N)=S
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,46.64050726,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,51.77982751,CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl
CCO[Si](C)(OCC)OCC,25.7819104,CCO[Si](C)(OCC)OCC
COCCOCCOCCOC,1.544071021,COCCOCCOCCOC
OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1,5.072413793,O=C(O)c1ccc2c(c1)C(=O)OC2=O
CCCCC(CC)COC(=O)C1=CC=C(C(=O)OCC(CC)CCCC)C(=C1)C(=O)OCC(CC)CCCC,34.43591963,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1
CCCC(CCC)C(O)=O,5.521064942,CCCC(CCC)C(=O)O
CCCSC(=O)N(CCC)CCC,10.38817246,CCCSC(=O)N(CCC)CCC
FC1(F)/C(=C\C(=O)N2CCC(N3CCCCC3)CC2)/C=4C(N(CC1)C(=O)C5=CC=C(NC(=O)C6=C(OC=C6)C)C=C5)=CC=CC4.FC1(F)/C(=C\C(=O)N2CCC(N3CCCCC3)CC2)/C=4C(N(CC1)C(=O)C5=CC=C(NC(=O)C6=C(OC=C6)C)C=C5)=CC=CC4.OC(=O)/C=C/C(O)=O,-3.819957328,Cc1occc1C(=O)Nc1ccc(C(=O)N2CCC(F)(F)/C(=C\C(=O)N3CCC(N4CCCCC4)CC3)c3ccccc32)cc1
