cSMILES,activity
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,53.1
CCCCC(CC)COC(=O)CS,58.7
CCc1ccccc1O,68.1
CCCCCC(C)=O,13.4
COc1ccc(C(=O)c2ccccc2)c(O)c1,98.3
CC(=O)c1ccccc1O,19.1
C=CC(=O)OCCO,17.1
CCCCCCCCSCCO,75.0
Sc1nc2ccccc2s1,101.0
COc1ccc(C)cc1N,37.4
COCCO,23.3
COc1ccccc1O,52.3
CC(O)CC(C)(C)O,13.1
Cc1ccccc1N,30.1
Cc1ccccc1N,39.0
CCC(C)COC(=O)CC(C)C,1.6
CC(C#N)CCC#N,0.2
CC(C)C#N,4.9
Nc1ccccc1[N+](=O)[O-],95.2
CCCCCCCCCCC(CO)CCCCCCCC,14.0
CCCC(C)=O,11.9
OCCOc1ccccc1,3.3
OCCc1ccccc1,7.4
O=C(OCCc1ccccc1)c1ccccc1,91.9
Oc1ccccc1-c1ccccc1,91.7
CCCOCCO,3.0
O=C1CCCN1,13.1
CCC(C)C1CCCCC1=O,9.9
CCc1ccc(O)c(C(C)(C)C)c1,87.9
Cc1ccc(C(C)(C)C)c(O)c1,66.2
CCCCCCCCCC(C)=O,15.8
N#CC(Br)(Br)C(N)=O,25.8
Oc1ccccc1Cc1ccccc1O,100.9
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,52.3
CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,39.3
CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,105.2
Cc1cccc(O)c1C,67.6
Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-],58.0
CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,97.6
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,30.1
O=C([O-])COc1ccc(Cl)cc1Cl,90.5
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,71.8
O=C(O)COc1ccc(Cl)cc1Cl,86.7
O=C(O)CCCOc1ccc(Cl)cc1Cl,99.4
O=C(c1ccccc1)c1ccc(O)cc1O,107.0
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,108.4
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],74.7
OC1=C(Cl)C=C(Cl)C(Cl)=C1,103.4
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,97.1
Oc1c(Br)cc(Br)cc1Br,105.0
Oc1c(Cl)cc(Cl)cc1Cl,100.0
Cc1cc(C)c(C(=O)O)c(C)c1,35.7
Cc1cc(C)c(O)c(C)c1,81.7
C=CCOc1nc(OCC=C)nc(OCC=C)n1,29.3
Oc1cc(Cl)ccc1Cl,105.0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,10.0
CC(C)(C)c1cccc(C(C)(C)C)c1O,30.0
N#Cc1c(Cl)cccc1Cl,77.7
CCc1cccc(CC)c1N,16.2
CN(C)CCCN,11.3
CCO[Si](CCCN)(OCC)OCC,-19.3
CCc1cccc(O)c1,59.3
Oc1ccc2c(c1)-c1ccccc1C2,85.3
CC(C)c1cccc(O)c1,78.9
CC(=O)OCCC(C)C,-18.7
Cc1cccc([N+](=O)[O-])c1,30.1
COCCOCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,33.6
O=C(O)c1cccc(Oc2ccccc2)c1,98.8
CCCC(CC)c1ccccc1,8.8
N#Cc1cccnc1,5.5
CC(C)(C)c1cccc(O)c1,81.7
CC1CC(O)CC(C)(C)C1,9.8
CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,68.6
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,105.7
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,107.7
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,105.8
C1=COCCC1,12.7
Nc1cc(Cl)cc(Cl)c1,93.5
CC(CCO)CC(C)(C)C,28.5
CCCCOCCOCCOCCOCCO,5.2
CC(C)=CCCC(C)=CC=O,33.5
CCC(C)(O)CCCC(C)C,11.3
CCC(C)(CCCC(C)C)OC(C)=O,9.6
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,2.0
CC(C)(C)c1ccc(O)cc1,67.1
CC(C)(C)CC(C)(C)c1ccc(O)cc1,94.7
CCC(C)(C)c1ccc(O)cc1,91.2
CC(=O)C=CC1=C(C)CCCC1(C)C,19.8
N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,22.8
CCC(C)c1ccc(O)cc1,97.5
CCC(C)(C)C1CCC(=O)CC1,19.8
Nn1cnnc1,4.6
Nc1ccc(C(=O)O)cc1,-5.9
CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,94.6
CCCCc1ccc(Cl)cc1,15.3
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,103.3
Cc1cc(O)ccc1Cl,85.8
Clc1ccc(C(Cl)(Cl)Cl)cc1,98.8
Oc1ccc(Cl)cc1,55.3
O=C(O)COc1ccc(Cl)cc1,34.8
NC(=O)Nc1ccc(Cl)cc1,19.0
CC(C)(c1ccccc1)c1ccc(O)cc1,103.1
O=C1CCC(C2CCCCC2)CC1,53.6
CCCCCCCCCCCCN1CCOCC1,38.8
CCCCCCCCCCCCc1ccc(O)cc1,100.3
CCOc1ccc(N)cc1,7.8
CCC1COC(=O)O1,15.2
CCCCCCOc1ccc(N)cc1,94.7
CC(=O)c1ccc(O)cc1,36.7
O=C(O)c1ccc(O)cc1,84.3
CC(C)c1ccc(O)cc1,73.2
COc1ccc(C=O)cc1,25.0
CC(C)CC(C)O,12.0
CC(=O)C=C(C)C,34.8
C=Cc1ccc(C)cc1,13.0
O=C(O)c1ccc([N+](=O)[O-])cc1,29.1
O=[N+]([O-])c1ccc(O)cc1,103.0
O=Nc1ccc(Nc2ccccc2)cc1,108.9
Cc1ccc([N+](=O)[O-])cc1,18.0
CCCCCCCCCc1ccc(O)cc1,89.2
CC(C)CCCCCCc1ccc(O)cc1,104.2
CCCCCCCCc1ccc(O)cc1,102.5
CCCCCc1ccc(N)cc1,89.4
Oc1ccc(-c2ccccc2)cc1,100.9
CCCC1CCC(=O)CC1,34.9
CC(C)(C)c1ccc(N)cc1,26.7
CC(C)(C)c1ccc(S)cc1,37.9
CC(C)(C)C1CCC(=O)CC1,7.2
CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1,45.7
Cc1ccc(C(C)(C)C)cc1,8.8
Cc1ccc(S(N)(=O)=O)cc1,12.8
C1CC2OC2CC1C1CO1,8.2
CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,43.3
CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,6.1
Nc1ccc(Cc2ccc(N)cc2)cc1,75.3
C1CN(SSN2CCOCC2)CCO1,80.8
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,46.2
Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,96.5
Nc1ccc(Oc2ccc(N)cc2)cc1,90.0
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,87.7
CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,100.2
O=c1ssc(Cl)c1Cl,106.6
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,109.9
CCC1(C)NC(=O)NC1=O,10.6
O=c1[nH]cc(F)c(=O)[nH]1,14.1
COc1ccc([N+](=O)[O-])cc1N,69.0
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,3.0
CC1(C)NC(=O)NC1=O,9.7
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,24.1
C[C@]12CCC(=O)CC1CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,20.9
Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,100.1
Cc1cc(=O)[nH]c(=S)[nH]1,16.6
Cc1ccc2ncccc2c1,43.1
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],103.0
CC1=CC(=O)[N-]S(=O)(=O)O1,24.0
CC(=O)Nc1ccc(O)cc1,-15.9
Cc1cc(Cl)ccc1OCC(=O)[O-],85.1
CCC(CC)C(C)CCOC(C)=O,12.3
CCOCN(C(=O)CCl)c1c(C)cccc1CC,51.4
CC(=O)c1ccccc1,19.5
CC(=O)C1=C(C)C2C[C@]3(C1)C(CC[C@H]3C)C2(C)C,17.7
CSC(=O)c1cccc2nnsc12,72.2
Nc1ccc2cc(S(=O)(=O)[O-])cc(O)c2c1/N=N/c1ccccc1C(F)(F)F,103.1
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],102.9
C=CC(N)=O,12.4
CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,34.3
CCc1cccc(CC)c1N(COC)C(=O)CCl,39.7
CSC(C)(C)C=NO,10.1
CNC(=O)ON=CC(C)(C)S(C)(=O)=O,7.8
CNC(=O)ON=CC(C)(C)S(C)=O,-5.7
ClC1=C(Cl)[C@]2(Cl)C3C4C=CC(C4)C3[C@@]1(Cl)C2(Cl)Cl,-15.0
CCCCCCCCCCCCOCC1CO1,57.7
NC(=O)NC1NC(=O)NC1=O,9.5
COc1cc(S(=O)(=O)[O-])c(C)cc1/N=N/c1c(O)ccc2cc(S(=O)(=O)[O-])ccc12,94.8
C=CCO,5.0
CCCCCC(C=O)=Cc1ccccc1,77.3
CC(=O)/C=C/C1C(C)=CCCC1(C)C,46.2
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,41.3
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],98.4
CCCC(=O)OC(C)(C)Cc1ccccc1,29.9
CCNc1nc(NC(C)C)nc(SC)n1,62.1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,48.4
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,54.1
NC(=O)[O-],14.7
[S-]C#N,11.8
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,104.2
NS(=O)(=O)[O-],26.1
Cc1ccc(S(=O)(=O)O)c(C)c1,25.0
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,9.5
CCCCCCC(O)CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(O)CCCCCC)CCOC(=O)CCCCCCCC=CCC(O)CCCCCC,60.8
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,103.0
CC(=O)Oc1ccccc1C(=O)O,36.6
COC(=O)NS(=O)(=O)c1ccc(N)cc1,5.4
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,15.4
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],63.0
CCNc1nc(Cl)nc(NC(C)C)n1,6.9
O=C([O-])c1ccc2c(c1)nc(C(=O)NC1CCN(C3CC3)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,46.2
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,34.3
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,86.8
CCNc1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccc(N(CC)CC)cc2)c2ccccc12,110.3
CNC(=O)Oc1cccc2c1OC(C)(C)O2,24.2
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],37.5
O=C(Nc1ccccc1)c1ccccc1I,73.6
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,40.4
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,21.5
ClC(Cl)c1ccccc1,12.4
CCOC(=O)c1ccc(N)cc1,37.3
OC(=O)C1=CC=CC=C1,-17.1
O=C(c1ccccc1)C(O)c1ccccc1,57.4
O=C(c1ccccc1)c1ccccc1,87.0
ClC(Cl)(Cl)c1ccccc1,62.4
O=C(OCc1ccccc1)c1ccc(O)cc1,103.2
CC(=O)OCc1ccccc1,11.8
OCc1ccccc1,43.3
O=C(OCc1ccccc1)c1ccccc1,88.2
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,71.1
O=C(C=Cc1ccccc1)OCc1ccccc1,75.4
CCCCCCCCCC[N+](C)(C)Cc1ccccc1,-8.5
CCCCC(CC)COC(=O)CCCCC(=O)OCc1ccccc1,13.5
O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,-16.3
Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,54.8
CC(C)OP(C)(=O)OC(C)C,10.9
CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,14.7
CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC,32.4
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-0.4
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,96.0
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,31.9
Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,100.7
CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,95.2
OB(O)O,-4.8
O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,29.3
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,22.6
N#Cc1cc(Br)c(O)c(Br)c1,101.8
CS(=O)(=O)OCCCCOS(C)(=O)=O,11.4
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,39.2
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,40.9
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,10.1
C=CC(=O)OCCCC,4.5
CCCCOC(=O)c1ccccc1,17.1
CCCCOCC1CO1,5.5
CCSC(=O)N(CC(C)C)CC(C)C,13.3
CCCCc1ccccc1,16.0
CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,101.1
CCCCOC(=O)c1ccc(O)cc1,100.1
CCCC=NO,7.1
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(N=Nc3ccccc3)c(O)ccc2c1,108.8
CC1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccccc1,108.3
CC1=NN(c2cc(Cl)c(S(=O)(=O)[O-])cc2Cl)C(=O)C1N=Nc1ccc(S(=O)(=O)[O-])cc1,102.2
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,97.3
CC1=NN(c2cc(S(=O)(=O)[O-])ccc2Cl)C(=O)C1/N=N/c1ccccc1,109.6
Cc1ccc([N+](=O)[O-])cc1N,80.8
O=C(Nc1ccc2c(O)c(/N=N/c3ccc(/N=N/c4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,103.4
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,102.9
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,110.4
CCCCCCCCCCCCCCCS(=O)(=O)Oc1ccccc1,6.5
CCCCCCC(C)(C)C(=O)[O-],53.3
C=C1C2CCC(C2)C1(C)C,6.9
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,4.8
O=C1CCCCCN1,-0.2
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,89.1
NC(=O)N1c2ccccc2C=Cc2ccccc21,56.6
COC(=O)Nc1nc2ccccc2[nH]1,-20.8
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,67.5
CC1=C(C(=O)Nc2ccccc2)SCCO1,36.7
CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O,11.8
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,56.9
CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,6.2
Nc1cc(Cl)cc(C(=O)O)c1Cl,93.9
Cc1ccc(S(=O)(=O)[N-]Cl)cc1,88.9
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,62.6
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,69.6
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,89.6
Nc1cnn(-c2ccccc2)c(=O)c1Cl,63.9
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,90.4
CC(C)OC(=O)Nc1cccc(Cl)c1,74.2
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,102.8
CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,99.4
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,99.6
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,99.7
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,94.7
Nc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1cccnc1)C(=O)N3CC2,40.1
Cc1ccccc1CO[C@@H]1C[C@@]2(C(C)C)CC[C@]1(C)O2,45.9
OC(=O)CC(O)(CC(O)=O)C(O)=O,-10.7
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,12.1
CC(C)=CCCC(C)CCO,92.9
NC(=O)N(O)[C@@H]1C=C[C@H](Oc2cccc(Oc3ccc(F)cc3)c2)C1,93.0
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,6.3
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,57.3
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,42.1
O=C(O)c1nc(Cl)ccc1Cl,30.8
Oc1ccc(Cl)cc1Cc1ccccc1,105.0
COC(=O)C(N)Cc1cnc[nH]1,85.7
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,41.7
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,12.6
CN1C(=O)CC[C@H]1c1cccnc1,4.8
O=C(O)c1cccc(C[C@@H]2COc3ccc(OCc4nc5cc(F)ccc5s4)cc3[C@@H]2O)c1,64.6
CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1csc(C(F)(F)F)n1,22.3
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,59.6
CCc1nn(C2CCCCC2)c2cc([C@]3(C#N)CC[C@@H](C(=O)O)CC3)ccc12,62.7
CCOc1cccc([C@]2(N3CCN(c4ccccc4)CC3)CC[C@@H](C)CC2)c1,15.5
CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc(F)cc2)cc1,10.5
CC(C)c1cccc(C(C)C)c1NC(=O)[N-]S(=O)(=O)c1cc(C(C)(C)O)co1,37.3
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,30.0
CC[C@@H]1C[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,41.7
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,48.4
CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,35.5
CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc3nonc3c2)cc1,5.1
Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c2c1CCC2,105.4
Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,0.4
C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,11.1
CCCCCCC(O)C/C=C/CCCCCCCOC(=O)OCCOCC(COCCOC(=O)OCCCCCCC/C=C/CC(O)CCCCCC)OCCOC(=O)OCCCCCCC/C=C/CC(O)CCCCCC,-22.0
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,30.7
CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,86.0
O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,96.4
O=C(c1ccccc1)C1CCC1,30.8
OC1CCCCCCCCCCC1,44.9
O=C1CCCCC1,1.0
ON=C1CCCCC1,11.1
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,10.8
NC1CCCCC1,11.8
O=C(c1ccccc1)C1CCCCC1,45.5
CC1=C2C[C@H]3C(CC=C4C[C@@H](O)CC[C@@]43C)C2CC[C@]12O[C@@H]1C[C@H](C)CNC1[C@H]2C,-3.7
O=P1(N(CCCl)CCCl)NCCCO1,63.3
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,48.1
CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,51.1
